Idiom,Sense,Idiomatic_Sent,Literal_Sent
далеко заходить,превышать меру в действиях или суждениях,"«Мы хотим, чтобы наши дети и все дети в нашей стране знали, что единственный предел возможностей — это то, насколько далеко заходят ваши мечты и насколько вы готовы ради них работать», — добавила Обама","«Мы хотим, чтобы наши дети и все дети в нашей стране знали, что единственный предел возможностей — это то, насколько велики ваши мечты и насколько вы готовы ради них работать», — добавила Обама"
далеко заходить,превышать меру в действиях или суждениях,"В Токио сочли, что корейцы намеренно делают императора ответственным за преступления, что, по мнению японцев, ""слишком далеко заходит""","В Токио сочли, что корейцы намеренно делают императора ответственным за преступления, что, по мнению японцев, является перебором"
далеко заходить,превышать меру в действиях или суждениях,"Если Путин и его ближайшее окружение все пути себе уже отрезали, то все-таки основная часть элиты не собирается так далеко заходить","Если Путин и его ближайшее окружение все пути себе уже отрезали, то всё-таки основная часть элиты не рисковать"
далеко заходить,превышать меру в действиях или суждениях,"Так, лидер партии ""Мерец"" Ран Коэн считает, что Лау слишком далеко заходит, и ""прицельные убийства являются преступлением""","Так, лидер партии «Мерец» Ран Коэн считает, что Лау перебарщивает, и «прицельные убийства являются преступлением»"
дать добро,"разрешить, одобрить что-либо",Все остальные европейские участники проекта дали добро на строительство,Все остальные европейские участники проекта одобрили строительство
дать добро,"разрешить, одобрить что-либо","Предыдущее руководство ""Роскосмоса"" дало добро на изготовление шлюзового модуля, что у многих вызвало удивление — делать пустую бочку для американцев, конечно, унизительно","Предыдущее руководство «Роскосмоса» одобрило изготовление шлюзового модуля, что у многих вызвало удивление — делать пустую бочку для американцев, конечно, унизительно"
девать некуда,"о большом количестве, изобилии чего-либо","Потратив миллионы на обустройство города, постройку новых спортзалов, бассейнов и художественных школ, городской совет пришел к выводу, что все равно деньги девать некуда, и решил снизить налоги с 85 до 45 процентов","Потратив миллионы на обустройство города, постройку новых спортзалов, бассейнов и художественных школ, городской совет пришёл к выводу, что всё равно деньги не на что тратить, и решил снизить налоги с 85 до 45 процентов"
девать некуда,"о большом количестве, изобилии чего-либо","Денег им девать некуда, я точно знаю, - добавил президент","Денег у них в избытке, я точно знаю, — добавил президент"
девать некуда,"о большом количестве, изобилии чего-либо","Там фермеры выливают, выбрасывают и раздают бесплатно продукты, потому что девать некуда из-за недружественных действий их правительств по отношению к России","Там фермеры выливают, выбрасывают и раздают бесплатно продукты, потому что их скопилось в излишке из-за недружественных действий их правительств по отношению к России"
деваться некуда,"не иметь иного выхода, иначе поступить нельзя",Мне сейчас деваться некуда,Я сейчас в безвыоходном положении
деваться некуда,"не иметь иного выхода, иначе поступить нельзя","«Другое дело, что деваться некуда», — утверждает высокопоставленный чиновник","«Другое дело, что нет другого выбора», — утверждает высокопоставленный чиновник"
деваться некуда,"не иметь иного выхода, иначе поступить нельзя","«Я сам этого не хочу, но деваться некуда», — пояснил он свою позицию","«Я сам этого не хочу, но делать нечего», — пояснил он свою позицию"
делать вид,"создавать видимость чего-либо, реально этого не делая","В апреле ЕСПЧ присудил 15 тысяч евро жительнице Чечни Элите Магомадовой, чей бывший муж выкрал и увез общего сына, а приставы Грозного делали вид, что не могут отыскать ребенка","В апреле ЕСПЧ присудил 15 тысяч евро жительнице Чечни Элите Магомадовой, чей бывший муж выкрал и увез общего сына, а приставы Грозного притворялись, что не могут отыскать ребенка"
делать вид,"создавать видимость чего-либо, реально этого не делая","Она такая милая и делает вид, что хорошо знает английский","Она такая милая и притворяется, что хорошо знает английский"
держать в ежовых рукавицах,"быть строгим в обращении с кем-либо, не делать кому-либо поблажек","Если дать слабинку, то мы можем расслабиться, а если держать в ежовых рукавицах — будет совсем другое отношение","Если дать слабинку, то мы можем расслабиться, а если строго контролировать, — будет совсем другое отношение"
держать в напряжении,заставлять кого-либо постоянно волноваться,"В целом, хозяева играли очень активно, постоянно держа в напряжении оборону и голкипера россиян, пишет Федерация хоккея России","В целом, хозяева играли очень активно, не давая расслабиться обороне и голкиперу россиян, пишет Федерация хоккея России"
держать в напряжении,заставлять кого-либо постоянно волноваться,Житель небольшого австралийского поселка Ипсвич в пригороде города Брисбэйн забаррикадировался в собственном доме и в течение 12 часов держал в напряжении местную полицию,Житель небольшого австралийского поселка Ипсвич в пригороде города Брисбэйн забаррикадировался в собственном доме и в течение 12 часов заставлял местную полицию быть в постоянной готовности
держать в напряжении,заставлять кого-либо постоянно волноваться,"Одна организация держит в напряжении все аварийные службы в течение недели, это станет для нее дорогим удовольствием","Одна организация перегружает все аварийные службы в течение недели, это станет для неё дорогим удовольствием"
держать в напряжении,заставлять кого-либо постоянно волноваться,"Фильм действительно держит в напряжении и временами, с помощью традиционных средств вроде внезапных громких звуков заставляет вздрагивать","Фильм действительно не дает расслабиться и временами, с помощью традиционных средств вроде внезапных громких звуков заставляет вздрагивать"
держать в узде,"подчинив своей воле, власти кого либо, обходиться с ним строго, сурово","Нам это выгодно, потому что в этом случае у нас появится возможность держать в узде весь Запад","Нам это выгодно, потому что в этом случае у нас появится возможность контролировать весь Запад"
держать в узде,"подчинив своей воле, власти кого либо, обходиться с ним строго, сурово","Нереально удержать в узде целую армию из 50-60 тысяч человек, которая будет потреблять алкоголь и расслабляться на португальских курортах","Нереально контролировать целую армию из 50‑60 тысяч человек, которая будет потреблять алкоголь и расслабляться на португальских курортах"
держать руку на пульсе,"быть в курсе происходящих событий, текущих дел, следить за их развитием","Всего за изменением курса доллара к рублю следят 56 процентов респондентов — 19 процентов граждан держат руку на пульсе постоянно, а 37 процентов проверяют курс время от времени","Всего за изменением курса доллара к рублю следят 56 процентов респондентов — 19 процентов граждан постоянно следят за курсом, а 37 процентов проверяют его время от времени"
держать руку на пульсе,"быть в курсе происходящих событий, текущих дел, следить за их развитием","«Все, что связано с деревьями, линиями электропередачи, телефонной связью должно быть восстановлено», — заявил Воробьев, призвав подчиненных «держать руку на пульсе»","«Все, что связано с деревьями, линиями электропередачи, телефонной связью должно быть восстановлено», — заявил Воробьев, призвав подчиненных постоянно контролировать ситуацию"
держать руку на пульсе,"быть в курсе происходящих событий, текущих дел, следить за их развитием","По ее словам, новые риски постоянно появляются, и нужно все время держать руку на пульсе","По ее словам, новые риски постоянно появляются, и нужно все время отслеживать ситуацию"
держать язык за зубами,хранить молчание; держать что-либо в тайне,"По словам главного редактора журнала Мэтта Мюллера, читатели ""признали Буша самым страшным персонажем, несмотря на то, что многие в этом вопросе предпочли держать язык за зубами","По словам главного редактора журнала Мэтта Мюллера, читатели «признали Буша самым страшным персонажем, несмотря на то, что многие в этом вопросе предпочли молчать»"
держать язык за зубами,хранить молчание; держать что-либо в тайне,"Британская газета The Independent собрала высказывания президента Филиппин Родриго Дутерте, которые тот сделал, когда ему «не удалось удержать язык за зубами»","Британская газета The Independent собрала высказывания президента Филиппин Родриго Дутерте, которые тот сделал, когда он не смог промолчать"
держать язык за зубами,хранить молчание; держать что-либо в тайне,"Оппоненты главы израильского правительства внутри страны полагают, что человеку, который не умеет держать язык за зубами, не место в премьерском кресле","Оппоненты главы израильского правительства внутри страны полагают, что человеку, который не умеет молчать, не место в премьерском кресле"
держать язык за зубами,хранить молчание; держать что-либо в тайне,"Можно научить чиновника красиво говорить или, в крайнем случае, держать язык за зубами, однако поменять его отношение к людям вряд ли удастся","Можно научить чиновника красиво говорить или, в крайнем случае, молчать, когда надо, однако поменять его отношение к людям вряд ли удастся"
держаться в тени,быть незаметным и не привлекать к себе внимания,"В этом списке шесть человек, которые, как сообщил аналитик одной из европейских разведывательных служб, ""были там с самого начала, но держались в тени, были не самыми заметными людьми""","В этом списке шесть человек, которые, как сообщил аналитик одной из европейских разведывательных служб, «были там с самого начала, но держались скрытно, были не самыми заметными людьми»"
держаться в тени,быть незаметным и не привлекать к себе внимания,На первых шагах Соединенные Штаты предпочитали держаться в тени,На первых шагах Соединённые Штаты предпочли оставаться неприметными
держаться на плаву,сохранять жизнеспособность в трудных условиях,"Пока они держатся на плаву, берут кредиты в банках","Пока они сохраняют финансовую стабильность, берут кредиты в банках"
держаться на плаву,сохранять жизнеспособность в трудных условиях,"Несмотря на поддержку Китаем широких санкций ООН против КНДР, именно при помощи Пекина северокорейской экономике удается держаться на плаву, отмечает агентство","Несмотря на поддержку Китаем широких санкций ООН против КНДР, именно при помощи Пекина северокорейской экономике удаётся оставаться жизнеспособной, отмечает агентство"
держаться на плаву,сохранять жизнеспособность в трудных условиях,"Причина снижения цен, по словам аналитиков, состоит в том, что девелоперы пытаются удержаться на плаву в условиях кризиса","Причина снижения цен, по словам аналитиков, состоит в том, что девелоперы пытаются сохранять финансовую устойчивость в условиях кризиса"
держаться на плаву,сохранять жизнеспособность в трудных условиях,Десяток миллиардов примерно потребляет наша страна от гастарбайтеров и за счет этого хоть как-то держится на плаву,Десяток миллиардов примерно потребляет наша страна от гастарбайтеров и за счёт этого хоть как‑то поддерживает экономику
держаться подальше от,избегать общения или контактов с кем-либо или чем-либо,"«С этого момента я буду держаться подальше от Египта, потому что, как только я вернусь назад, меня наверняка арестуют","«С этого момента я буду избегать Египта, потому что, как только я вернусь назад, меня наверняка арестуют»"
держаться подальше от,избегать общения или контактов с кем-либо или чем-либо,"Судья согласился освободить Роджерса под залог при условии, что он будет держаться подальше от наркотиков, переедет к родственникам в пригород Мельбурна, не будет показываться на улице с девяти вечера до шести утра, запишется на программу помощи наркозависимым и станет каждый день отмечаться в полиции","Судья согласился освободить Роджерса под залог при условии, что он откажется от наркотиков, переедет к родственникам в пригород Мельбурна, не будет показываться на улице с девяти вечера до шести утра, запишется на программу помощи наркозависимым и будет каждый день отмечаться в полиции"
держаться подальше от,избегать общения или контактов с кем-либо или чем-либо,"Китайские дипломаты в канадском городе Торонто выпустили официальное письмо, в котором призывают сограждан «держаться подальше от марихуаны»","Китайские дипломаты в канадском городе Торонто выпустили официальное письмо, в котором призывают сограждан избегать марихуаны"
держаться подальше от,избегать общения или контактов с кем-либо или чем-либо,"«Таким образом молодой самец гиппопотама давал буйволам понять, что нужно держаться подальше от его воды, — объясняет автор видео Эдрич Шейфер","«Таким образом молодой самец гиппопотама давал буйволам понять, что нужно не приближаться к его воде, — объясняет автор видео Эдрич Шейфер"
держаться подальше от,избегать общения или контактов с кем-либо или чем-либо,Держись подальше от любых бассейнов ради своей безопасности,Избегай любых бассейков ради своей безопасности
для видимости,"с целью создать, вызвать обманчивое впечатление","68 процентов опрошенных считают, что комиссия создана лишь для видимости, и лишь 23 процента верят в то, что создание комиссии — это попытка выяснить правду об иракском оружии","68 процентов опрошенных считают, что комиссия создана исключительно ради формальности, и лишь 23 процента верят в то, что создание комиссии — это попытка выяснить правду об иракском оружии"
для видимости,"с целью создать, вызвать обманчивое впечатление","Он прислал для видимости в Москву своего представителя, но от дальнейших контактов опять уклонился","Он прислал ради формальности в Москву своего представителя, но от дальнейших контактов опять уклонился"
для видимости,"с целью создать, вызвать обманчивое впечатление","По мнению критиков подобных ограничений, сексуальных преступников отслеживают скорее для видимости, чем в результате реальной необходимости","По мнению критиков подобных ограничений, сексуальных преступников отслеживают скорее ради формальности, чем в результате реальной необходимости"
для видимости,"с целью создать, вызвать обманчивое впечатление","Они были также подконтрольны Ходорковскому, и «оплата за акции отражалась лишь в документах для видимости, а фактически отсутствовала», добавил представитель СК","Они были также подконтрольны Ходорковскому, и «оплата за акции отражалась лишь в документах только формально, а фактически отсутствовала», добавил представитель СК"
для галочки,"для формального отчёта, соблюдения формальности","2 ноября патриарх Кирилл призвал увеличить объем преподавания в школах основ религиозных культур и светской этики, поскольку, по его словам, один урок в неделю — это курс «для галочки»","2 ноября патриарх Кирилл призвал увеличить объём преподавания в школах основ религиозных культур и светской этики, поскольку, по его словам, один урок в неделю — это курс, проводимый лишь формально"
для галочки,"для формального отчёта, соблюдения формальности","Мы видим свою миссию в том, чтобы сделать ряд традиционных бизнесов более высокотехнологичными, высокоинтеллектуальными и не просто для галочки, а чтобы повысить их эффективность и продуктивность","Мы видим свою миссию в том, чтобы сделать ряд традиционных бизнесов более высокотехнологичными, высокоинтеллектуальными и не просто формально, а чтобы повысить их эффективность и продуктивность"
для отвода глаз,с целью отвлечь внимание,"В нынешней ситуации, когда непрерывно идут провокации, происходят гибридные войны, эта компания, лишь для отвода глаз зарегистрированная в Евросоюзе, может разнообразно и не во благо нашей стране использовать получаемую здесь информацию","В нынешней ситуации, когда непрерывно идут провокации, происходят гибридные войны, эта компания, лишь с целью отвлечения внимания, зарегистрированная в Евросоюзе, может разнообразно и не во благо нашей стране использовать получаемую здесь информацию"
для отвода глаз,с целью отвлечь внимание,После первого выхода в море все стало ясно — рыбу мы ловили только для отвода глаз,После первого выхода в море всё стало ясно — рыбу мы ловили только для прикрытия
для отвода глаз,с целью отвлечь внимание,"Сама Шемякина уверена, что такое заявление было сделано для отвода глаз и что она не получит деньги обратно","Сама Шемякина уверена, что такое заявление было сделано для прикрытия и что она не получит деньги обратно"
для отвода глаз,с целью отвлечь внимание,"Каждый раз рынок на несколько дней закрывался «для отвода глаз», однако потом снова начинал работу, пояснила лидер движения Евгения Сморчкова","Каждый раз рынок на несколько дней закрывался для прикрытия, однако потом снова начинал работу, пояснила лидер движения Евгения Сморчкова"
для отвода глаз,с целью отвлечь внимание,"Из-за этого они решили, что версию о случайности выдвинули для отвода глаз, а настоящей причиной ложной тревоги стала хакерская атака","Из-за этого они решили, что версию о случайности выдвинули как ложный предлог, а настоящей причиной ложной тревоги стала хакерская атака"
до глубины души,"чрезвычайно, очень сильно, до крайности (взволновать, обеспокоить)","Эти ужасные обвинения шокировали меня до глубины души, все мои отношения начинались с согласия обеих сторон","Эти ужасные обвинения шокировали меня очень сильно, все мои отношения начинались с согласия обеих сторон"
до глубины души,"чрезвычайно, очень сильно, до крайности (взволновать, обеспокоить)","Вот это лицемерие, которым ""Батькивщина"" все время красиво прикрывается, меня очень сильно поразило","Вот это лицемерие, которым «Батькивщина» всё время красиво прикрывается, меня поразило глубоко"
до глубины души,"чрезвычайно, очень сильно, до крайности (взволновать, обеспокоить)","Очень тяжело смотреть на фотографии, которые мы видели, и не отреагировать, не быть потрясенным до глубины души","Очень тяжело смотреть на фотографии, которые мы видели, и не отреагировать, не быть чрезвычайно потрясенным"
до глубины души,"чрезвычайно, очень сильно, до крайности (взволновать, обеспокоить)",Произошедшая ситуация с ребятами поражает до глубины души,Произошедшая ситуация с ребятами очень сильно поражает
до глубины души,"чрезвычайно, очень сильно, до крайности (взволновать, обеспокоить)",Я до глубины души потрясен случившимся,Я невероятно потрясён случившимся
до победного конца,"до полного успеха, до достижения цели","В ответ кинематографист заявил, что «голодовка продлится до победного конца»: либо он умрет, либо его требования начнут выполнять","В ответ кинематографист заявил, что «голодовка продлится до окончательного разрешения ситуации»: либо он умрёт, либо его требования начнут выполнять"
до победного конца,"до полного успеха, до достижения цели","Мы нигде не отказываемся от участия в выборах, везде наши кандидаты идут до победного конца, мы ничего не сдаем — ни выборы губернатора в Хабаровском крае, ни во Владимирской области","Мы нигде не отказываемся от участия в выборах, везде наши кандидаты стремятся к победе, мы ничего не сдаем — ни выборы губернатора в Хабаровском крае, ни во Владимирской области"
до победного конца,"до полного успеха, до достижения цели","«Мы продолжим протест до победного конца», — заявил капитан сборной Грузии Варлам Липартелиани","«Мы продолжим протест до окончательной победы», — заявил капитан сборной Грузии Варлам Липартелиани"
до победного конца,"до полного успеха, до достижения цели","Он также отметил, что борьба за Telegram в России продолжится, потому что «история наших предков учит биться до победного конца», и поздравил всех с Днем Победы","Он также отметил, что борьба за Telegram в России продолжится, потому что «история наших предков учит бороться до полной победы», и поздравил всех с Днём Победы"
до полусмерти,"очень сильно (избить, испугать)","11 июля сообщалось, что турист из России проник на территорию турецкой гостиницы, где отдыхали путешественники из Украины, и избил 57-летнего жителя Запорожья до полусмерти","11 июля сообщалось, что турист из России проник на территорию турецкой гостиницы, где отдыхали путешественники из Украины, и сильно избил 57‑летнего жителя Запорожья"
до последнего вздоха,до самой смерти сохранять преданность чему-либо,"По словам лидера ""Хизбаллы"", его повстанцы готовы биться ""до последнего вздоха""","По словам лидера «Хизбаллы», его повстанцы готовы биться насмерть"
до последнего вздоха,до самой смерти сохранять преданность чему-либо,"По его словам, Украина готова драться «до последнего вздоха в жизни»","По его словам, Украина готова драться до самого конца"
до последнего вздоха,до самой смерти сохранять преданность чему-либо,Я буду бороться до последнего вздоха,Я буду бороться насмерть
до последнего вздоха,до самой смерти сохранять преданность чему-либо,"В понедельник Иоанн Павел II на встрече с кардиналами объявил о том, что будет возглавлять католическую церковь до последнего вздоха","В понедельник Иоанн Павел II на встрече с кардиналами объявил о том, что будет возглавлять католическую церковь до самой смерти"
до потери пульса,"очень долго, до полного изнеможения","Там же чиновник напомнил читателям про свои заслуги и пригласил соратников на прощание ""напиться до потери пульса""",Там же чиновник напомнил читателям про свои заслуги и пригласил соратников на прощание сильно напиться
до слез,"очень сильно, чрезвычайно (расстроить, заставить плакать)","В ноябре стало известно, что при подготовке к свадьбе с принцем Гарри Меган Маркл довела до слез Кейт Миддлтон","В ноябре стало известно, что при подготовке к свадьбе с принцем Гарри Меган Маркл заставила Кейт Миддлтон плакать"
до слез,"очень сильно, чрезвычайно (расстроить, заставить плакать)","Мать написала, что довела сына до слез, не позволив ему увидеться с отцом","Мать написала, что заставила сына расплакаться, не позволив ему увидеться с отцом"
до слез,"очень сильно, чрезвычайно (расстроить, заставить плакать)","«Я надеюсь, что ты умрешь», — написал один из них, доведя девушку до слез","«Я надеюсь, что ты умрешь», — написал один из них, заставив девушку плакать"
до слез,"очень сильно, чрезвычайно (расстроить, заставить плакать)",Эта работа довела некоторых из них до слез,Эта работа привела некоторых из них к эмоциональному перенапряжению
до упаду,до состояния полного изнеможения,"Есть ли лучший способ определить главного фаната фильма, кроме как пригласить его смотреть любимое кино до упаду, в буквальном смысле?","Есть ли лучший способ определить главного фаната фильма, кроме как пригласить его смотреть любимое кино до изнеможения?"
добраться до суть,понять главное и выяснить правду,"«У федерации есть стимул, чтобы добраться до сути как можно быстрее», — заявил де Пенсье, предложив провести чемпионат мира-2018 без России","«У федерации есть стимул, чтобы как можно быстрее выяснить все обстоятельства», — заявил де Пенсье, предложив провести чемпионат мира‑2018 без России"
добраться до суть,понять главное и выяснить правду,Мы должны добраться до сути в деле о вмешательстве России в наши выборы,Мы должны установить истину в деле о вмешательстве России в наши выборы
добрая половина,большая часть,"Я думаю, что добрая половина членов нашей фракции впервые будут представлены в стенах Федерального Собрания","Я думаю, что большая часть членов нашей фракции впервые будет представлена в стенах Федерального Собрания"
добрая половина,большая часть,"При этом апокалиптических сцен хватает в доброй половине включенных в ""Аниматрицу"" мультфильмов, которые между собой ощутимо различаются по многим показателям","При этом апокалиптических сцен хватает в значительной части включенных в «Аниматрицу» мультфильмов, которые между собой ощутимо различаются по многим показателям"
доводить до ума,"приводить что либо в должное состояние, в должный вид","Вполне вероятно, что правительственная реформа ограничится созданием группы экспертов, которые будут доводить до ума министерские варианты законопроектов","Вполне вероятно, что правительственная реформа ограничится созданием группы экспертов, которые будут совершенствовать министерские варианты законопроектов"
доводить до ума,"приводить что либо в должное состояние, в должный вид","КХЛ без разницы, кто будет доводить до ума арену: 'Будивельник', Министерство спорта Украины или же Федерация хоккея Украины","КХЛ без разницы, кто будет завершать подготовку арены: «Будивельник», Министерство спорта Украины или же Федерация хоккея Украины"
доводить до ума,"приводить что либо в должное состояние, в должный вид","Как уточняет THR, Спилиотопулос будет доводить до ума черновой вариант сюжета, сочиненного Крисом Морганом","Как уточняет THR, Спилиотопулос будет дорабатывать черновой вариант сюжета, сочинённого Крисом Морганом"
доводить до ума,"приводить что либо в должное состояние, в должный вид",Доводить до ума реактор и охлаждающий блок в NASA начали в 2006 году в рамках проекта Fission Surface Power,Дорабатывать реактор и охлаждающий блок в NASA начали в 2006 году в рамках проекта Fission Surface Power
